r1bqkbnr/1p3ppp/p1n1p3/2ppP3/5P2/1P6/PBPP2PP/RN1QKBNR w KQkq -,f1e2 g8h6 g1f3 f8e7 e1h1 e8h8 c2c3 f7f6 d2d4 f6e5
r1bqk2r/ppp2ppp/5n2/2bPN3/2Bn4/8/PPP2PPP/RNBQK2R w KQkq -,c1e3 d4c2 d1c2 c5e3 f2e3 d8e7 c2c3 e8h8 e1h1 f8e8
rn1qkb1r/pp2pppp/5nb1/3p4/2PP4/2NB4/PP3PPP/R1BQK1NR w KQkq -,c4d5 f6d5 d3g6 h7g6 d1b3 d5c3 b3b7 b8d7 b2c3 a8b8
rnbqkb1r/ppp1nppp/8/4p3/3P1p2/2N2N2/PPP1Q1PP/R1B1KB1R w KQkq -,e2e5 b8c6 f1b5 c8e6 c1f4 a7a6 b5c6 e7c6 e5e4 c6b4
rnbq1rk1/pppn1pbp/3p2p1/4p3/3P1B2/2P1PN2/PP1NBPPP/R2QK2R w KQ -,f4e5 d6e5 e1h1 f8e8 d1c2 e5d4 c3d4 d7b6 e2d3 b8c6
rnbqk1nr/pp1p1pbp/4p1p1/2p1N3/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -,f2f4 g7e5 f4e5 d8h4 e1f1 h4e4 d2d4 c5d4 f1f2 e4f5
r1bqkb1r/1p3ppp/p1n2n2/2pp4/3P4/1P1B1N2/PBP2PPP/RN1QK2R w KQkq -,d4c5 f8c5 e1h1 e8h8 h2h3 f8e8 b1c3 h7h6 a2a3 c5a7
rnbq1rk1/pp2ppbp/5np1/3p4/3P1B2/2N2N2/PPQ1PPPP/R3KB1R w KQ -,e2e3 b8c6 h2h3 d8b6 c2b3 b6b3 a2b3 c8f5 f1b5 f8c8
rnbqk2r/pp2pp1p/2pp1npb/8/2PP4/2N5/PP1QPPPP/R3KBNR w KQkq -,f2f4 e7e5 d4e5 d6e5 d2d8 e8d8 f4e5 f6g4 g1f3 b8d7
r1bqk2r/ppp2ppp/2n2n2/3p4/3P4/P1b3P1/1P2PPBP/R1BQK1NR w KQkq -,d1d2 c3d2 c1d2 c6d4 a1d1 d4c2 e1f1 c7c6 d2c3 d8b6
rnbq1bnr/ppp1kppp/3pp3/4P3/3P4/8/PPP2PPP/RNBQKBNR w KQ -,f1d3 e7e8 g1f3 d6e5 d4e5 b8d7 b1c3 g8e7 e1h1 e7g6
rnbqkbnr/pp3ppp/8/2p1p3/3pP3/P2P4/1PP1NPPP/R1BQKBNR w KQkq -,h2h3 b8c6 g2g3 f8d6 f1g2 c8e6 f2f4 f7f6 g1f3 g8e7
rnbqk2r/1pp1npbp/p2pp1p1/8/2PPPP2/2N2N2/PP4PP/R1BQKB1R w KQkq -,c1e3 b8d7 f1e2 b7b6 e1h1 e8h8 h2h3 c8b7 d1d2 d7f6
rn1q1rk1/pbp1bppp/1p2pn2/3pN3/2PP4/P1N1P3/1P3PPP/R1BQKB1R w KQ -,e5f3 c7c5 d4c5 b6c5 f1e2 b8c6 c4d5 e6d5 e1h1 a8c8
rnbqkb1r/p4ppp/2p1pn2/1p6/2pPPB2/2N2P2/PP4PP/R2QKBNR w KQkq -,h2h4 f8e7 f4e3 e8h8 h4h5 b8d7 g2g4 h7h6 g4g5 h6g5
rn1qkb1r/pp2nppp/4p3/2ppPb2/3P3N/2P5/PP3PPP/RNBQKB1R w KQkq -,f1b5 b8d7 e1h1 a7a6 b5d7 d8d7 d4c5 f5b1 a1b1 e7c6
r1bqkb1r/pp2pppp/2np1n2/8/1p1PP3/P2B4/2P2PPP/RNBQK1NR w KQkq -,a3b4 c6d4 b1c3 e7e5 c3d5 c8d7 c2c3 f6d5 e4d5 d4f5
r1bqk2r/pp3ppp/2nppn2/2p5/2PP4/P1P1PP2/6PP/R1BQKBNR w KQkq -,a1b1 c6a5 e3e4 b7b6 d1a4 c8d7 a4c2 c5d4 c3d4 a8c8
rnbqkb1r/ppp2p1p/3p1p2/4p3/2PP4/8/PP2PPPP/RN1QKBNR w KQkq -,e2e3 f8g7 g2g3 f6f5 g1e2 e5d4 e3d4 d6d5 c4c5 f5f4
rn2kbnr/pp1q1ppp/8/3p4/3p4/2P5/PP3PPP/RNBQK1NR w KQkq -,d1e2 d7e6 g1f3 d4c3 b1c3 f8b4 c1e3 b4c3 b2c3 g8e7
r2qk2r/ppp2ppp/2np1n2/2b1p3/2b1P3/2PP1N1P/PP3PP1/RNBQ1RK1 w kq -,c1g5 c4a6 b2b4 h7h6 g5f6 d8f6 a2a3 a8d8 d1c2 d6d5
rn2kbnr/ppp1pppp/4q3/8/4N1b1/5N2/PPPP1PPP/R1BQKB1R w KQkq -,f1b5 c7c6 b5d3 f7f5 f3g5 e6g6 f2f3 f5e4 g5e4 g4f5
r1bqk2r/1p1nbppp/p1p1pn2/3p4/2PP4/1PN1PN2/P1Q2PPP/R1B1KB1R w KQkq -,f1d3 b7b6 e1h1 c8b7 c1b2 e8h8 a1c1 a8c8 f1d1 c6c5
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P3N/2P5/PP3PPP/RNBQKB1R w KQkq -,h4f5 e7f5 f1d3 f7f6 e1h1 f6e5 d4e5 d8c7 d1e2 e8a8
8/2P5/b7/8/1p1K4/5k2/8/8 w - -,c7c8n a6c8 d4c4 f3e4 c4b4 e4d4 b4b3 c8e6 b3c2 e6f5
r1bq1rk1/pppp1ppp/5n2/2b1p3/2BnP3/3P1N2/PPP1QPPP/RNB2RK1 w - -,e2e1 d4c2 e1c3 c2a1 b2b4 c5e7 c3a1 d7d6 a2a4 c7c6
rnb1k2r/ppp2ppp/5n2/3q4/4p3/2bP4/PPPB1PPP/R2QKBNR w KQkq -,g1e2 c3b2 a1b1 b2e5 c2c4 d5d3 b1b5 b8c6 b5e5 c6e5
r1bqkb1r/pp3pp1/n1p1pn1p/1N1p4/3P1B2/4PN2/PPP2PPP/R2QKB1R w KQkq -,c2c3 c6b5 f1b5 c8d7 b5d3 a6b8 e1h1 f8e7 a1c1 b8c6
8/8/2kB4/5N2/4K3/8/8/8 w - -,e4d4 c6b7 d4d5 b7a7 d5c6 a7a8 d6h2 a8a7 c6d6 a7b7
rn1q1rk1/pp2ppbp/2p2np1/3p1b2/3P1B2/2NBPN2/PPP2PPP/R2Q1RK1 w - -,d3f5 g6f5 c3e2 e7e6 c2c3 b8d7 e2g3 g8h8 a2a4 a7a5
r1bqk2r/ppp1bppp/2np1n2/4p3/2P5/P1N3P1/1P1PPPBP/R1BQK1NR w KQkq -,d2d3 a7a5 e2e3 c8e6 g1e2 a5a4 e1h1 d8d7 c3a4 h7h5
5k2/p1p2pp1/7p/7r/2P5/1P3PP1/PB5P/1K6 w - -,h2h4 g7g5 b2f6 g5h4 f6h4 h5e5 g3g4 e5e3 h4g3 e3f3
r1bqkbnr/pp3ppp/2npp3/2p5/4P3/3P1N1P/PPP2PP1/RNBQKB1R w KQkq -,f1e2 g8f6 e1h1 f8e7 b1c3 e8h8 d3d4 d6d5 e4d5 e6d5
rnbqkb1r/ppp2p1p/3p2p1/4P3/4P1n1/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3d5 f8e7 e5d6 c7d6 h2h3 g4e5 c1h6 c8e6 f3e5 d6e5
r1b1kbnr/ppqppppp/8/4P3/3Q4/2N5/PPP2PPP/R1B1KB1R w KQkq -,c3d5 c7b8 d4c3 e7e6 d5c7 e8d8 c1g5 f8e7 g5e7 g8e7
rn1qkb1r/pb1p1ppp/1p3n2/3p4/2P5/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c3d5 f6d5 c4d5 f8b4 c1d2 d8e7 f1e2 b7d5 e1h1 b4d2
rnbqkb1r/ppp2ppp/3p4/3n4/8/6P1/PPPP1P1P/RNBQKBNR w KQkq -,f1g2 d5f6 g1f3 d6d5 e1h1 f8e7 b2b3 e8h8 c1b2 f8e8
rn1qkbnr/pp3ppp/4p3/2ppP2P/3P4/3Q4/PPP2PP1/RNB1K1NR w KQkq -,c2c3 b8c6 g1e2 d8c7 e1h1 c5d4 c3d4 c6b4 d3b5 c7d7
7R/8/5k2/8/8/Q3K3/8/8 w - -,c2c3 b8c6 g1e2 d8c7 b1a3 f7f6 d3h3 f6e5 d4e5 c7e5
rn1qkb1r/ppp1pppp/5n2/5b2/2B5/2N2N2/PPPP2PP/R1BQK2R w KQkq -,f3e5 e7e6 h1f1 f5g6 d2d4 c7c6 e5g6 h7g6 d1d3 b8d7
r1bqk2r/pppp1ppp/5n2/2bBp3/3nP3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,h2h3 f6d5 c3d5 c7c6 d5e3 e8h8 c2c3 d4f3 d1f3 d7d5
r1bqkbnr/ppp1ppp1/2n4p/3p2B1/3P4/7P/PPP1PPP1/RN1QKBNR w KQkq -,g5d2 c6d4 e2e3 d4f5 c2c4 e7e6 d2c3 g8f6 b1d2 f5d6
r1bqk2r/pppp1ppp/2n2n2/2bPp3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq -,d5c6 f6e4 d1d5 c5f2 e1e2 e4f6 d5e5 e8f8 c1g5 f2b6
r1bqkb1r/ppp1ppp1/2n2n1p/3p4/3P3B/7P/PPP1PPP1/RN1QKBNR w KQkq -,e2e3 e7e5 f1b5 e5d4 e3d4 g7g5 h4g3 f6e4 g1e2 f8g7
r1bqk2r/pppnnpbp/4p1p1/1B1pP3/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c3e2 c7c5 c2c3 e8h8 e1h1 c5d4 c3d4 f7f6 b5d7 c8d7
r1bqk1nr/pp3ppp/2n1p3/3p4/3P4/P1b2N2/1PPB1PPP/R2QKB1R w KQkq -,f1e2 c3d2 d1d2 g8f6 e2d3 f6e4 d3e4 d5e4 f3g5 f7f5
r2qkb1r/pp2nppp/2n1p3/1B1p4/3P2b1/2N1BN2/PPP2PPP/R2QK2R w KQkq -,a1b1 e7f5 h2h3 g4h5 g2g4 f5e3 f2e3 h5g6 h3h4 f8b4
rnb1kb1r/pp3ppp/2p2q2/1B1p4/3Pn3/4N3/PPP2PPP/RNBQK2R w KQkq -,f2f3 f6h4 e1e2 h4f2 e2d3 c6b5 f3e4 d5e4 d3e4 b8c6
rn1qkb1r/pbp2ppp/1p2pn2/3p4/2PP4/1PN2N2/P3PPPP/R1BQKB1R w KQkq -,d1d3 d5c4 b3c4 f8b4 c1b2 c7c5 e2e3 c5d4 e3d4 b8c6
rnbq1rk1/1pp1ppbp/p2p1np1/8/3P1B2/2PBPN2/PP3PPP/RN1QK2R w KQ -,f4g3 d8e8 e1h1 b8c6 d3e2 e7e5 h2h3 f6e4 g3h2 f7f5
r1bqkb1r/pppp1ppp/2n1pn2/8/5P2/6P1/PPPPP1BP/RNBQK1NR w KQkq -,e2e4 d7d6 d2d4 h7h5 e4e5 f6d5 g1e2 h5h4 c2c3 a7a6
r1bqk2r/pppnppbp/3p1np1/8/4P3/2N2NP1/PPPP1PBP/R1BQK2R w KQkq -,e1h1 e7e5 a2a4 e8h8 d2d4 c7c6 h2h3 d8c7 c1g5 b7b6
rnbqk2r/ppp2pbp/4pnp1/3p2B1/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,b1d2 b8d7 g5h4 e8h8 f1e2 c7c5 e1h1 b7b6 a2a4 c8b7
r2q1rk1/ppp1bppp/2bp1n2/8/3Q4/1PN1PN2/PBP2PPP/R3K2R w KQ -,e1a1 d8d7 e3e4 b7b5 h1e1 f8e8 h2h3 a7a5 c3d5 a5a4
rnb1k2r/pp1pppbp/1qp2np1/8/3P1B2/1P1BP3/P1P2PPP/RN1QK1NR w KQkq -,g1f3 c6c5 c2c3 e8h8 e1h1 b8c6 h2h3 d7d6 f4h2 d6d5
r1bqkb1r/pp3ppp/2n1pn2/2p5/4p3/1P1P1N2/PBPN1PPP/R2QKB1R w KQkq -,f3g1 e4d3 f1d3 d8c7 g1f3 f8e7 e1h1 e8h8 f1e1 f6d5
rnbqk2r/ppp1bppp/4pn2/6B1/8/2NB4/PPP1QPPP/R3K1NR w KQkq -,g5e3 e7b4 e3d2 f6d5 e2g4 e8h8 g1e2 f7f5 g4h3 b8d7
rnbqkb1r/ppp2ppp/5p2/3p4/3P4/5P2/PPP1P1PP/RN1QKBNR w KQkq -,e1f2 f8d6 e2e3 e8h8 c2c4 c7c5 c4d5 c5d4 d1d4 b8d7
rn1qkb1r/1p3ppp/p3pn2/2pp4/3P2b1/2PBPN2/PP1N1PPP/R1BQK2R w KQkq -,d4c5 f8c5 h2h3 g4h5 a2a3 b8c6 c3c4 d5c4 d3c4 c5e7
r1bqkbnr/ppp3pp/2n2p2/2Pp4/3Pp3/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1c3 e4f3 d1f3 g8e7 f1d3 h7h5 f3d1 e8f7 e1h1 b7b6
rnbqkb1r/ppp2ppp/8/3np3/8/3P4/PPP1KPPP/RNBQ1BNR w kq -,g1f3 b8c6 e2e1 c8f5 f1e2 d8d7 a2a3 e8a8 b1c3 f8e7
rn1qk1nr/pp2bppp/2p1p3/3pPbB1/8/3P1N2/PPP2PPP/RN1QKB1R w KQkq -,g5d2 c6c5 c2c4 d5d4 d1b3 d8d7 d2f4 e7d8 h2h3 h7h5
rn1qk2r/pp2nppp/2p1p3/3pPb2/8/3P1N2/PPP2PPP/RN1QKB1R w KQkq -,b1c3 b8d7 d3d4 f5g4 h2h3 g4f3 d1f3 e8h8 f3e3 e7f5
rn1qkbnr/pp1bpppp/8/1Bpp4/8/2P1P3/PP1P1PPP/RNBQK1NR w KQkq -,b5a4 c5c4 g1f3 d8c7 a4d7 b8d7 b2b3 e7e5 e1h1 g8f6
rn1qkbnr/pbpp1ppp/1p2p3/8/3PPP2/2N3P1/PPP4P/R1BQKBNR w KQkq -,a2a3 f8e7 g1f3 g8f6 e4e5 f6d5 c3d5 b7d5 c2c4 d5b7
r1bqk1nr/pppp1ppp/2n5/4p3/1b2PP2/5N2/PPPP2PP/RNBQKB1R w KQkq -,c2c3 b4f8 f1c4 e5f4 d2d4 g8f6 e4e5 d7d5 e5f6 d5c4
rnbqkb1r/pp3ppp/2pp1n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR w KQkq -,g1e2 d6d5 e4d5 c6d5 c4b3 a7a5 c2c3 b8c6 c1g5 c8e6
rnbq1rk1/ppp1bppp/3p1n2/8/1PP1p3/2N1PN2/PB1P1PPP/R2QKB1R w KQ -,g2g4 e4f3 g4g5 f6e8 h2h4 c7c6 d1f3 c8e6 f1d3 f7f5
r1b1kb1r/pp1ppppp/5n2/q3N3/2Bp4/8/PPP2PPP/RNBQK2R w KQkq -,c1d2 a5e5 c4e2 e7e6 e1h1 f8e7 f1e1 e8h8 e2f3 e5c7
r2qk2r/pppn1ppp/3bp3/3p1b2/3Pn3/2PBPNB1/PP3PPP/RN1QK2R w KQkq -,d1e2 d6e7 d3e4 f5e4 c3c4 c7c6 b1c3 e4g6 e1h1 d5c4
r1bqk1nr/pppp1ppp/2n5/b3p3/4PP2/2P2N2/PP1P2PP/RNBQKB1R w KQkq -,f4e5 d7d6 a2a4 a7a6 b2b4 a5b6 e5d6 c7d6 d2d4 g8f6
r2qkbnr/pppnpppp/8/8/3Pp3/8/PPP2PPP/RNBQK1NR w KQkq -,c1e3 f7f5 d1e2 g8f6 f2f3 e7e5 f3e4 f6e4 g1f3 f8d6
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/3BP3/PP3PPP/RNBQK1NR w KQkq -,g1f3 d5c4 d3c4 f8e7 e1h1 a7a6 a2a4 c7c5 b1c3 e8h8
r2qkbnr/pp2pppp/2n5/1Q1p4/6b1/5N2/PPPP1PPP/RNB1KB1R w KQkq -,f1e2 d8d7 h2h3 g4f5 b5b3 e7e5 d2d4 e5d4 e1h1 f8c5
r2qk2r/pbppbppp/1pn1pn2/8/3P1B2/3BPN2/PPP2PPP/RN1Q1RK1 w kq -,c2c4 f6h5 b1c3 e8h8 a2a3 h5f4 e3f4 e7f6 d3e4 c6a5
rnbq1rk1/ppp1ppbp/3p1np1/8/4PP2/1P1P4/PBP3PP/RN1QKBNR w KQ -,b1d2 c7c5 f1e2 b8c6 g1f3 g7h6 g2g3 e7e5 f4e5 f6g4
rnb1kbnr/pppp1ppp/4pq2/8/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,d2d4 d7d5 g1f3 b8c6 b1c3 h7h6 e1h1 c8d7 e2e4 g8e7
rnbq1rk1/pp1n1pbp/6p1/2p5/3P1P2/2N2N2/PPP1Q1PP/R1B1KB1R w KQ -,e2f2 c5d4 f3d4 d7f6 d4b3 a7a5 a2a4 b8c6 f1e2 c6b4
r3kb1r/pppqpppp/2n2n2/3p1b2/3P4/3BPN1P/PPP2PP1/RNBQK2R w KQkq -,d3b5 a7a6 f3e5 d7e6 b5c6 b7c6 b1c3 h7h5 c3e2 f6d7
rnbqkb1r/1pp2ppp/8/p2p4/4n3/1B3N2/PPPP1PPP/RNBQK2R w KQkq -,c2c4 e4c5 d2d4 c5b3 a2b3 b8c6 c1f4 c6b4 b1c3 c7c6
r2qkb1r/pp2pppp/2b2n2/2Pp4/5B2/4P3/PPP2PPP/RN1QK1NR w KQkq -,g1f3 e7e6 d1d4 f6e4 b2b4 b7b6 c5b6 d8b6 a2a3 c6b5
rn1qk1nr/ppp2ppp/4b3/2b5/8/8/PPPPQPPP/RNB1KBNR w KQkq -,g1f3 g8e7 e2d1 c5b6 d2d4 c7c5 d4c5 d8d1 e1d1 b6c5
rn1qk2r/pbp2ppp/1p2pn2/3pN3/1bPP4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,d1a4 f6d7 a4b4 d7e5 d4e5 b8c6 b4b3 a7a6 c4d5 e6d5
r1bqkbnr/1p3ppp/p1n1p3/1BppP3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq -,b5a4 b7b5 a4b3 c5c4 b3c4 b5c4 b2b3 g8e7 c1a3 c4b3
rnbqkbnr/1pppppp1/8/p6p/4P3/5Q2/PPPP1PPP/RNB1KBNR w KQkq -,d2d4 d7d6 f3d3 e7e5 d4e5 d6e5 d3d8 e8d8 f1c4 g8h6
r1bqk2r/ppp1ppbp/2np1np1/8/8/1P2PN2/PBPPBPPP/RN1QK2R w KQkq -,d2d4 c8f5 e1h1 c6b4 b1c3 e8h8 a2a3 b4d5 c3d5 f6d5
r1bq1rk1/pppp1ppp/2n2n2/4p3/4P3/1PB2N2/P1PP1PPP/R2QKB1R w KQ -,f3e5 f6e4 e5c6 d7c6 f1e2 d8g5 e1h1 e4c3 d2c3 c8h3
r1bqk1nr/pp1pbppp/2n5/4p3/4P3/1N6/PPPB1PPP/RN1QKB1R w KQkq -,f1d3 g8f6 c2c4 a7a5 e1h1 a5a4 b3c1 e7c5 b1c3 d7d6
r1bqk2r/pp1pbppp/2n2n2/4p3/4P3/1NN5/PPPB1PPP/R2QKB1R w KQkq -,d1f3 d7d6 h2h3 c8e6 e1a1 a7a5 a2a4 e8h8 c1b1 c6b4
rnbqk2r/pppp1ppp/1b2pn2/8/1PPP4/P1N5/4PPPP/R1BQKBNR w KQkq -,c4c5 a7a5 c5b6 a5b4 c3b5 f6d5 b6c7 d5c7 b5d6 e8e7
rnbqk2r/ppp2pbp/3p2p1/8/2B5/2P2N2/PPP2PPP/R1BQK2R w KQkq -,c1g5 d8d7 d1e2 e8f8 e1a1 h7h6 g5h4 b8c6 h1e1 g6g5
rn1qkb1r/ppp2ppp/5n2/3pp3/4P1b1/3P1N2/PPP1QPPP/RNB1KB1R w KQkq -,a2a3 b8c6 c2c3 f8e7 h2h3 g4e6 e2c2 e8h8 b2b4 a7a6
r1b1k1nr/p1qnppbp/2pp2p1/1p6/3PP3/2N1BP2/PPPQ2PP/2KR1BNR w kq -,g2g4 d7b6 h2h4 h7h5 g4h5 h8h5 f1d3 b5b4 c3e2 h5a5
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/P3P3/1P3PPP/RN1QKBNR w KQkq -,g1f3 h7h6 g5h4 f6e4 h4e7 c6e7 d1c2 c8d7 f1e2 e8h8
rnbq1rk1/ppppb1pp/4pn2/5p2/2PP1B2/3BP3/PP3PPP/RN1QK1NR w KQ -,b1c3 b8c6 h2h3 d7d6 g1f3 f6d7 f4h2 e6e5 d3e2 e5e4
rnb1k1nr/pp1p1ppp/4p3/1N6/2P1P3/4b3/Pq3PPP/RN1QKB1R w KQkq -,f1e2 e3f2 e1f2 b2a1 b5c7 e8d8 c7a8 g8f6 e2f3 a1e5
8/8/8/6r1/5k1K/8/8/8 w - -,f1e2 e3f2 e1f2 b2a1 b5c7 e8d8 c7a8 g8f6 e2f3 a1e5
rn1qkb1r/1b3ppp/pp1ppn2/2p5/P1B1PP2/2N2N2/1PPP2PP/R1BQ1RK1 w kq -,f4f5 d6d5 f5e6 f7e6 c4a2 f8e7 f3g5 d8d7 e4e5 e8h8
r2qkb1r/pppb1ppp/2n2p2/1B6/8/5N2/PPPP1PPP/R1BQK2R w KQkq -,e1h1 f8d6 f1e1 c6e7 b5f1 e8h8 d2d4 f8e8 c2c4 c7c6
r1bqkb1r/pppp1ppp/2n2n2/8/2BP4/8/PPP2PPP/RNBQK1NR w KQkq -,c4e2 d7d5 g1f3 f8d6 e1h1 h7h6 f1e1 e8h8 c2c3 f8e8
r1bqk2r/pppp1ppp/2n2n2/8/1bBP4/5N2/PPP2PPP/RNBQK2R w KQkq -,e1f1 d7d5 c4d3 e8h8 a2a3 b4d6 b1c3 h7h6 h2h3 c6e7
rnbqk2r/ppp2ppp/4p3/3p4/1b1P1B2/2P1PN2/PP1n1PPP/R2QKB1R w KQkq -,d1d2 b4d6 f1d3 d6f4 e3f4 e8h8 d2e3 b7b6 e1a1 b8d7
r1bqkb1r/pppp2pp/2n2n2/5P2/2B1p3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,d1e2 f8e7 f3g5 d7d5 c4b5 c8f5 d2d3 e8h8 b5c6 b7c6
r2qkbnr/pp1b3p/2n1pp2/2pp2B1/3P4/2P2N2/PP3PPP/RN1QKB1R w KQkq -,g5h4 d8b6 d1b3 b6b3 a2b3 c5d4 f3d4 c6d4 c3d4 e8f7
rnbqkbnr/ppp1p1pp/5p2/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,c2c3 e7e5 d2d4 g8e7 h2h3 b8c6 d4e5 f6e5 c1g5 d8d6
r1bqr1k1/ppp2pp1/2np1n1p/2b1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQR1K1 w - -,c3a4 c5b6 a4b6 a7b6 a2a4 c8e6 c4b5 e6d7 c1d2 c6e7
r1bq1rk1/p3bp1p/2pp1np1/8/3Q1P2/2N1B3/PPP3PP/2KR1B1R w - -,e3f2 c8e6 f1c4 d6d5 c4b3 c6c5 d4d2 d5d4 b3e6 f7e6
rn1q1rk1/ppp2ppp/3b1p2/8/2B3b1/5N2/PPPP1PPP/R1BQ1RK1 w - -,c2c3 c7c5 h2h3 g4h5 c4e2 b8c6 d2d4 f8e8 d4d5 c6e5
r1bqk1nr/ppp2ppp/2np4/2b1p1N1/4P3/3P4/PPP2PPP/RNBQKB1R w KQkq -,g2g3 g8e7 b1c3 e8h8 f1g2 h7h6 g5f3 f7f5 e4f5 e7f5
rnbqk2r/ppppnpbp/4p1p1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,f2f4 d7d5 g1f3 d5e4 c3e4 e8h8 d1d2 b8d7 e1a1 b7b6
r1bqkb1r/ppp2pp1/2n2n1p/3pp3/2B1P3/3PBN2/PPP2PPP/RN1Q1RK1 w kq -,f3e5 c6e5 c4b3 d5e4 d3e4 d8d1 f1d1 c8g4 f2f3 g4e6
rn1qkbnr/pbpp1ppp/1p2p3/8/3P4/4P3/PPPB1PPP/RN1QKBNR w KQkq -,a2a4 c7c5 g1f3 b8c6 a4a5 b6a5 b1a3 g8f6 a3c4 c5d4
rnb1kbnr/ppp3pp/4qp2/3p4/8/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,e1h1 e6f7 d2d4 c7c6 f1e1 g8e7 c1f4 e8d8 c3a4 g7g5
r2qkb1r/pp3pp1/2np1n1p/2p1p3/2P1P1b1/2NP1NP1/PP3PBP/R1BQK2R w KQkq -,h2h3 g4d7 e1h1 g7g6 f3e1 f8g7 a1b1 e8h8 e1c2 a7a5
rnbqk2r/ppp1ppb1/3p1np1/6Bp/3P3P/2N2N2/PPP1PPP1/R2QKB1R w KQkq -,e2e4 e8h8 d1d2 d6d5 e4d5 f6d5 f1e2 b8c6 e1h1 c8g4
r1bq1rk1/ppp2ppp/2nbpn2/8/2pP4/1P3NP1/P3PPBP/RNBQ1RK1 w - -,b3c4 e6e5 c4c5 d6e7 d4e5 d8d1 f1d1 f6e4 c1e3 e7c5
8/8/8/2Q5/8/1k1K4/8/8 w - -,b1d2 c4b3 a2b3 e6e5 d4e5 c6e5 f3e5 d6e5 a1a4 c7c6
8/8/8/1Q6/8/k2K4/8/8 w - -,b1d2 c4b3 a2b3 e6e5 d4e5 c6e5 f3e5 d6e5 a1a4 c7c6
8/8/8/1Q6/8/2K5/k7/8 w - -,b1d2 c4b3 a2b3 e6e5 d4e5 c6e5 f3e5 d6e5 a1a4 c7c6
8/8/8/8/8/2k5/2B5/2NK4 w - -,c2b3 c3d4 d1d2 d4e5 c1a2 e5f6 d2c3 f6g5 c3d4 g5f6
r1bqkb1r/ppp2ppp/2nppn2/2P5/3P4/4P3/PP3PPP/RNBQKBNR w KQkq -,g1f3 d6c5 b1c3 a7a6 f1e2 b7b6 e1h1 c8b7 a2a3 c5d4
1r4r1/2p1kp2/2pp1n2/p1b2P1p/P1B1P2P/2QR2Bq/5P2/5RK1 w - -,c3a3 f6e4 a3c5 e4c5 d3e3 e7f8 c4e2 h3h4 f1e1 h4g5
rnbq4/pppp1kbQ/5np1/8/4P3/8/PPPP1PPP/RNB1KB1R w KQ -,h7h4 d7d5 c2c3 b8c6 d2d4 d8e7 c1e3 e7e4 h4e4 f6e4
rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP1BPP1P/R2QKB1R w KQ -,a1c1 d5c4 f1g2 a7a5 c1c4 c8d7 f3e5 d7b5 c4c5 c7c6
rnbq1rk1/ppp2ppp/4pn2/8/2pP4/5NP1/PP1BPPBP/R2QK2R w KQ -,a1c1 a7a5 c1c4 c8d7 c4c5 b7b6 c5c1 d7c6 e1h1 a8a7
r4r1k/p5p1/1p4p1/2p1Bp2/2P2P2/7n/PP4PP/4RK2 w - -,e1e2 a8d8 g2h3 d8d1 e2e1 f8d8 e1d1 d8d1 f1e2 d1h1
rnbqkb1r/ppp2p1p/4pnp1/3p4/4P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq -,g1f3 b8c6 c2c3 e6e5 b2b4 a7a6 d1c2 f8g7 f1g2 e8h8
r1bqkbnr/pp1ppp1p/2n3p1/2p5/8/2PPP3/PP3PPP/RNBQKBNR w KQkq -,
r1b1k1nr/pppp1ppp/8/4q3/1b2P3/5P2/PPP3PP/RNBQKB1R w KQkq -,b1d2 d7d5 d1e2 d5e4 c2c3 b4e7 d2e4 c8d7 c1e3 g8f6
rnbqkb1r/pp2pppp/2p2n2/8/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq -,c2c4 c8f5 f3h4 f5b1 a1b1 e7e6 e1h1 f8d6 h4f3 e8h8
rn1qk2r/pp3ppp/3bpn2/3p1b2/3P1B2/2N2N2/PPPQ1PPP/R3KB1R w KQkq -,f4d6 d8d6 f1d3 f5d3 d2d3 e8h8 e1h1 b8c6 c3e2 f8c8
